"id", "catalog_number", "description"
"793386","UC208-25FS","AMI UC208-25FS 1-9/16 NORMAL WIDE SET SCREW FREE S SINGLE ROW BALL BEARING"
"793385","UG207RT","AMI UG207RT 35MM NORMAL DUTY WIDE ECC COLL RT S ROW BALL BEARING"
"793384","UG207-23RT","AMI UG207-23RT 1-7/16 NORMAL DUTY WIDE ECC COLL RT SINGLE ROW BALL BEARING"
"793383","UG207-22RT","AMI UG207-22RT 1-3/8 NORMAL DUTY WIDE ECC COLL RT SINGLE ROW BALL BEARING"
"793382","UG207-20RT","AMI UG207-20RT 1-1/4 NORMAL DUTY WIDE ECC COLL RT SINGLE ROW BALL BEARING"
"793206","SER207FSAM1","AMI SER207FSAM1 35MM NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"793205","SER207-23FSAM1","AMI SER207-23FSAM1 1-7/16 NORMAL WIDE CYL O.D. SET SCR BRG INSERT SINGLE ROW BALL BEARING"
"793204","UC207FS","AMI UC207FS 35MM NORMAL WIDE SET SCREW FREE SPI SINGLE ROW BALL BEARING"
"793183","SUE204-12FSAM1","AMI SUE204-12FSAM1 3/4 NORMAL WIDE CYL O.D. ACCU-LOC F INSERT SINGLE ROW BALL BEARING"
"793179","UK209","AMI UK209 NORMAL DUTY ADAPTER BEARING"
"793178","UC207MZ2RF","AMI UC207MZ2RF 35MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"793177","UC207-23MZ2RF","AMI UC207-23MZ2RF 1-7/16 ZINC NORMAL WIDE SET SCREW R INSERT SINGLE ROW BALL BEARING"
"793176","UC207-22MZ2RF","AMI UC207-22MZ2RF 1-3/8 ZINC NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"793175","UC207-21MZ2RF","AMI UC207-21MZ2RF 1-5/16 ZINC NORMAL WIDE SET SCREW R INSERT SINGLE ROW BALL BEARING"
"793174","UC207-20MZ2RF","AMI UC207-20MZ2RF 1-1/4 ZINC NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"793141","UE205-16FS","AMI UE205-16FS 1 NORMAL DUTY WIDE ACCU-LOC FREE SP SINGLE ROW BALL BEARING"
"793132","SER206-20FSXAM1","AMI SER206-20FSXAM1 1-1/4 NML WIDE CYL O.D. SET SCREW F BRG SINGLE ROW BALL BEARING"
"793071","UC207-23FS","AMI UC207-23FS 1-7/16 NORMAL WIDE SET SCREW FREE S SINGLE ROW BALL BEARING"
"793070","UC207-20FS","AMI UC207-20FS 1-1/4 NORMAL WIDE SET SCREW FREE SP SINGLE ROW BALL BEARING"
"793069","UK307","AMI UK307 HEAVY DUTY ADAPTER BEARING"
"793063","UC207RT","AMI UC207RT 35MM NORMAL DUTY WIDE SET SCREW RT ROW BALL BEARING"
"793062","UC207-23RT","AMI UC207-23RT 1-7/16 NORMAL DUTY WIDE SET SCREW R SINGLE ROW BALL BEARING"
"793061","UC207-22RT","AMI UC207-22RT 1-3/8 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
"793060","UC207-21RT","AMI UC207-21RT 1-5/16 NORMAL DUTY WIDE SET SCREW R SINGLE ROW BALL BEARING"
"793059","UC207-20RT","AMI UC207-20RT 1-1/4 NORMAL DUTY WIDE SET SCREW RT SINGLE ROW BALL BEARING"
"793054","UKX09","AMI UKX09 MEDIUM DUTY ADAPTER BEARING"
"793044","SER205FSXAM1","AMI SER205FSXAM1 25MM NML WIDE CYL O.D. SET SCREW FR SINGLE ROW BALL BEARING"
"793043","SER205-16FSXAM1","AMI SER205-16FSXAM1 1 NML WIDE CYL O.D. SET SCREW FREE SINGLE ROW BALL BEARING"
"793022","UR207-20FS","AMI UR207-20FS 1-1/4 NORMAL WIDE CYL O.D. SET SCRE INSERT SINGLE ROW BALL BEARING"
"793021","SER206FSX","AMI SER206FSX 30MM NML WIDE CYL O.D. SET SCREW FR INSERT SINGLE ROW BALL BEARING"
"793020","SER206-20FSX","AMI SER206-20FSX 1-1/4 NML WIDE CYL O.D. SET SCREW F INSERT SINGLE ROW BALL BEARING"
"793018","UK208","AMI UK208 NORMAL DUTY ADAPTER BEARING"
"792998","KHR206NR","AMI KHR206NR 30MM NORMAL NARROW CYL O.D. ECC COL SINGLE ROW BALL BEARING"
"792973","SER206FSAM1","AMI SER206FSAM1 30MM NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792972","SER206-20FSAM1","AMI SER206-20FSAM1 1-1/4 NORMAL WIDE CYL O.D. SET SCRE BRG INSERT SINGLE ROW BALL BEARING"
"792971","SER206-19FSAM1","AMI SER206-19FSAM1 1-3/16 NORMAL WIDE CYL O.D. SET SCR BRG INSERT SINGLE ROW BALL BEARING"
"792970","SER206-18FSAM1","AMI SER206-18FSAM1 1-1/8 NORMAL WIDE CYL O.D. SET SCRE BRG INSERT SINGLE ROW BALL BEARING"
"792956","UKX08","AMI UKX08 MEDIUM DUTY ADAPTER BEARING"
"792955","SER205FSX","AMI SER205FSX 25MM NML WIDE CYL O.D. SET SCREW FR INSERT SINGLE ROW BALL BEARING"
"792954","SER205-16FSX","AMI SER205-16FSX 1 NML WIDE CYL O.D. SET SCREW FREE INSERT SINGLE ROW BALL BEARING"
"792953","SER205-14FSX","AMI SER205-14FSX 7/8 NML WIDE CYL O.D. SET SCREW FRE INSERT SINGLE ROW BALL BEARING"
"792951","UC206MZ2RF","AMI UC206MZ2RF 30MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"792950","UC206-20MZ2RF","AMI UC206-20MZ2RF 1-1/4 ZINC NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"792949","UC206-19MZ2RF","AMI UC206-19MZ2RF 1-3/16 ZINC NORMAL WIDE SET SCREW R INSERT SINGLE ROW BALL BEARING"
"792948","UC206-18MZ2RF","AMI UC206-18MZ2RF 1-1/8 ZINC NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"792947","UC206-17MZ2RF","AMI UC206-17MZ2RF 1-1/16 ZINC NORMAL WIDE SET SCREW R INSERT SINGLE ROW BALL BEARING"
"792946","SER204-12FSXAM1","AMI SER204-12FSXAM1 3/4 NML WIDE CYL O.D. SET SCREW FRE BRG SINGLE ROW BALL BEARING"
"792945","UKX07","AMI UKX07 MEDIUM DUTY ADAPTER BEARING"
"792930","KHR205NR","AMI KHR205NR 25MM NORMAL NARROW CYL O.D. ECC COL SINGLE ROW BALL BEARING"
"792925","UK306","AMI UK306 HEAVY DUTY ADAPTER BEARING"
"792909","UK207","AMI UK207 NORMAL DUTY ADAPTER BEARING"
"792908","UR205-16FS","AMI UR205-16FS 1 NORMAL WIDE CYL O.D. SET SCREW FR SINGLE ROW BALL BEARING"
"792907","SER205FSAM1","AMI SER205FSAM1 25MM NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792906","SER205-16FSAM1","AMI SER205-16FSAM1 1 NORMAL WIDE CYL O.D. SET SCREW FR INSERT SINGLE ROW BALL BEARING"
"792905","SER205-14FSAM1","AMI SER205-14FSAM1 7/8 NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792896","SER204FSX","AMI SER204FSX 20MM NML WIDE CYL O.D. SET SCREW FR INSERT SINGLE ROW BALL BEARING"
"792895","SER204-12FSX","AMI SER204-12FSX 3/4 NML WIDE CYL O.D. SET SCREW FRE INSERT SINGLE ROW BALL BEARING"
"792894","SER202-10FSX","AMI SER202-10FSX 5/8 NML WIDE CYL O.D. SET SCREW FRE INSERT SINGLE ROW BALL BEARING"
"792893","SER201-8FSX","AMI SER201-8FSX 1/2 NML WIDE CYL O.D. SET SCREW FRE INSERT SINGLE ROW BALL BEARING"
"792880","UC205MZ2RF","AMI UC205MZ2RF 25MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"792879","UC205-16MZ2RF","AMI UC205-16MZ2RF 1 ZINC NORMAL WIDE SET SCREW RF SEA SINGLE ROW BALL BEARING"
"792878","UC205-14MZ2RF","AMI UC205-14MZ2RF 7/8 ZINC NORMAL WIDE SET SCREW RF S SINGLE ROW BALL BEARING"
"792871","KHR204NR","AMI KHR204NR 20MM NORMAL NARROW CYL O.D. ECC COL SINGLE ROW BALL BEARING"
"792864","SER204FSAM1","AMI SER204FSAM1 20MM NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792863","SER204-12FSAM1","AMI SER204-12FSAM1 3/4 NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792862","SER202-10FSAM1","AMI SER202-10FSAM1 5/8 NORMAL WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"792840","BR5-16NR","AMI BR5-16NR 1 NORMAL NARROW CYL O.D. SET SCREW SINGLE ROW BALL BEARING"
"792826","UKX06","AMI UKX06 MEDIUM DUTY ADAPTER BEARING"
"792809","UK305","AMI UK305 HEAVY DUTY ADAPTER BEARING"
"792806","UC204MZ2RF","AMI UC204MZ2RF 20MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"792805","UC204-12MZ2RF","AMI UC204-12MZ2RF 3/4 ZINC NORMAL WIDE SET SCREW RF S SINGLE ROW BALL BEARING"
"792804","UC203MZ2RF","AMI UC203MZ2RF 17MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"792803","UC202MZ2RF","AMI UC202MZ2RF 15MM ZINC NORMAL WIDE SET SCREW RF SINGLE ROW BALL BEARING"
"792802","UC202-10MZ2RF","AMI UC202-10MZ2RF 5/8 ZINC NORMAL WIDE SET SCREW RF S SINGLE ROW BALL BEARING"
"792801","UC201-8MZ2RF","AMI UC201-8MZ2RF 1/2 ZINC NORMAL WIDE SET SCREW RF S SINGLE ROW BALL BEARING"
"792800","UK206","AMI UK206 NORMAL DUTY ADAPTER BEARING"
"792795","UC206-20FS","AMI UC206-20FS 1-1/4 NORMAL WIDE SET SCREW FREE SP SINGLE ROW BALL BEARING"
"792793","BR3NR","AMI BR3NR 17MM NORMAL NARROW CYL O.D. SET SCR SINGLE ROW BALL BEARING"
"792786","UKX05","AMI UKX05 MEDIUM DUTY ADAPTER BEARING"
"792773","UK205","AMI UK205 NORMAL DUTY ADAPTER BEARING"
"792772","BR2-10NR","AMI BR2-10NR 5/8 NORMAL NARROW CYL O.D. SET SCRE SINGLE ROW BALL BEARING"
"792771","BR1NR","AMI BR1NR 12MM NORMAL NARROW CYL O.D. SET SCR SINGLE ROW BALL BEARING"
"792770","BR1-8NR","AMI BR1-8NR 1/2 NORMAL NARROW CYL O.D. SET SCRE SINGLE ROW BALL BEARING"
"792759","URW202-10","AMI URW202-10 5/8 NORMAL WIDE CYL O.D. SET SCREW SINGLE ROW BALL BEARING"
"792758","URW201-8","AMI URW201-8 1/2 NORMAL WIDE CYL O.D. SET SCREW SINGLE ROW BALL BEARING"
"18296","BR3","AMI BR3 17MM NORMAL NARROW CYL O.D. SET SCR W/CYLINDRICAL O.D."
"18295","BR2-10","AMI BR2-10 5/8 NORMAL NARROW CYL O.D. SET SCRE S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18294","BR2","AMI BR2 15MM NORMAL NARROW CYL O.D. SET SCR S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18293","BR1-8","AMI BR1-8 1/2 NORMAL NARROW CYL O.D. SET SCRE S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18292","BR1","AMI BR1 12MM NORMAL NARROW CYL O.D. SET SCR S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18291","B3","AMI B3 17MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18289","B2-10","AMI B2-10 5/8 NORMAL NARROW WIDTH SET SCREW B LOCKING"
"18288","B2","AMI B2 15MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18287","B1-8","AMI B1-8 1/2 NORMAL NARROW WIDTH SET SCREW B LOCKING"
"18286","B1","AMI B1 12MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18285","BR4-12","AMI BR4-12 3/4 NORMAL NARROW CYL O.D. SET SCRE W/CYLINDRICAL O.D."
"18284","BR4","AMI BR4 20MM NORMAL NARROW CYL O.D. SET SCR BEARING-SET SCREW"
"18283","B4-12","AMI B4-12 3/4 NORMAL NARROW WIDTH SET SCREW B LOCKING"
"18282","B4","AMI B4 20MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18281","BR5-16","AMI BR5-16 1 NORMAL NARROW CYL O.D. SET SCREW S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18280","BR5-15","AMI BR5-15 15/16 NORMAL NARROW CYL O.D. SET SC W/CYLINDRICAL O.D"
"18279","BR5-14","AMI BR5-14 7/8 NORMAL NARROW CYL O.D. SET SCRE S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18278","BR5","AMI BR5 25MM NORMAL NARROW CYL O.D. SET SCR S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"18277","B5-16","AMI B5-16 1 NORMAL NARROW WIDTH SET SCREW BEA LOCKING"
"18276","B5-15","AMI B5-15 15/16 NORMAL NARROW WIDTH SET SCREW SCREW LOCKING"
"18275","B5-14","AMI B5-14 7/8 NORMAL NARROW WIDTH SET SCREW B LOCKING"
"18274","B5","AMI B5 25MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18273","U000","AMI U000 10MM LIGHT EXTRA NARROW ECCENTRIC C NARROW WIDTH BEARING"
"18272","KHR204-12","AMI KHR204-12 3/4 NORMAL NARROW CYL O.D. ECCENTRI WIDTHCYLINDRICAL O.D. BEARING"
"18271","KHR204","AMI KHR204 20MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18269","KHR203","AMI KHR203 17MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18267","KHR202-10","AMI KHR202-10 5/8 NORMAL NARROW CYL O.D. ECCENTRI WIDTHCYLINDRICAL O.D. BEARING"
"18266","KHR202","AMI KHR202 15MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18265","KHR201-8","AMI KHR201-8 1/2 NORMAL NARROW CYL O.D. ECCENTRI WIDTHCYLINDRICAL O.D. BEARING"
"18264","KHR201","AMI KHR201 12MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18263","KH204-12","AMI KH204-12 3/4 NORMAL NARROW WIDTH ECCENTRIC C LOCKING COLLAR"
"18262","KH204","AMI KH204 20MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18260","KH203","AMI KH203 17MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18259","KH202-10","AMI KH202-10 5/8 NORMAL NARROW WIDTH ECCENTRIC C LOCKING COLLAR"
"18258","KH202","AMI KH202 15MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18257","KH201-8","AMI KH201-8 1/2 NORMAL NARROW WIDTH ECCENTRIC C LOCKING COLLAR"
"18256","KH201","AMI KH201 12MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18255","UR204-12","AMI UR204-12 3/4 NORMAL WIDE CYL O.D. SET SCREW"
"18254","UR204","AMI UR204 20MM NORMAL WIDE CYL O.D. SET SCREW"
"18246","UCW203-11","AMI UCW203-11 11/16 NORMAL WIDE 1.5748 O.D. SET S LOCKING"
"18245","UCW203","AMI UCW203 17MM NORMAL WIDE 40MM O.D. SET SCRE LOCKING"
"18244","UCW202-9","AMI UCW202-9 9/16 NORMAL WIDE 1.5748 O.D. SET SC LOCKING"
"18243","UCW202-10","AMI UCW202-10 5/8 NORMAL WIDE 1.5748 O.D. SET SCR LOCKING"
"18242","UCW202","AMI UCW202 15MM NORMAL WIDE 40MM O.D. SET SCRE LOCKING"
"18241","UCW201-8","AMI UCW201-8 1/2 NORMAL WIDE 1.5748 O.D. SET SCR LOCKING"
"18240","UCW201","AMI UCW201 12MM NORMAL WIDE 40MM O.D. SET SCRE SCREW LOCKING 40MM OD"
"18239","UC204-12","AMI UC204-12 3/4 NORMAL DUTY WIDE SET SCREW BEAR SET-SCREW LOCK"
"18238","UC204","AMI UC204 20MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18237","UC203-11","AMI UC203-11 11/16 NORMAL DUTY WIDE SET SCREW BE SET-SCREW LOCK"
"18236","UC203","AMI UC203 17MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18234","UC202-10","AMI UC202-10 5/8 NORMAL DUTY WIDE SET SCREW BEAR SET-SCREW LOCK"
"18233","UC202","AMI UC202 15MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18232","UC201-8","AMI UC201-8 1/2 NORMAL DUTY WIDE SET SCREW BEAR SET-SCREW LOCK"
"18231","UC201","AMI UC201 12MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18230","U001","AMI U001 12MM LIGHT EXTRA NARROW ECCENTRIC C ECCENTRIC LOCKING COLLAR"
"18229","U002","AMI U002 15MM LIGHT EXTRA NARROW ECCENTRIC C NARROW WIDTH BEARING"
"18228","KHR205-15","AMI KHR205-15 15/16 NORMAL NARROW CYL O.D. ECCENT WIDTHCYLINDRICAL O.D. BEARING"
"18227","KHR205-14","AMI KHR205-14 7/8 NORMAL NARROW CYL O.D. ECCENTRI WIDTHCYLINDRICAL O.D. BEARING"
"18226","KHR205","AMI KHR205 25MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18225","KH205-15","AMI KH205-15 15/16 NORMAL NARROW WIDTH ECCENTRIC BEARINGECCENTRIC LOCKING COLLAR"
"18224","KH205-14","AMI KH205-14 7/8 NORMAL NARROW WIDTH ECCENTRIC C LOCKING COLLAR"
"18223","KH205","AMI KH205 25MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18222","KHR205-16","AMI KHR205-16 1 NORMAL NARROW CYL O.D. ECCENTRIC O.D. BEARING"
"18221","KH205-16","AMI KH205-16 1 NORMAL NARROW WIDTH ECCENTRIC COL COLLAR LOCKING"
"18220","UR205-16","AMI UR205-16 1 NORMAL WIDE CYL O.D. SET SCREW BE"
"18217","UR205","AMI UR205 25MM NORMAL WIDE CYL O.D. SET SCREW"
"18216","UC205-16","AMI UC205-16 1 NORMAL DUTY WIDE SET SCREW BEARIN SET-SCREW LOCK"
"18215","UC205-15","AMI UC205-15 15/16 NORMAL DUTY WIDE SET SCREW BE SET-SCREW LOCK"
"18214","UC205-14","AMI UC205-14 7/8 NORMAL DUTY WIDE SET SCREW BEAR SET-SCREW LOCK"
"18213","UC205","AMI UC205 25MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18212","K000","AMI K000 10MM LIGHT EXTRA NARROW SET SCREW B LOCKING BEARING"
"18211","B1-8MZ2","AMI B1-8MZ2 1/2 ZINC NORMAL NARROW SET SCREW BE WIDTHBEARING"
"18210","B2-10MZ2","AMI B2-10MZ2 5/8 ZINC NORMAL NARROW SET SCREW BE LOCKING"
"18207","UGW202-10","AMI UGW202-10 5/8 NORMAL DUTY WIDE ECCENTRIC COLL LOCKING WIDE RING"
"18205","UGW201-8","AMI UGW201-8 1/2 NORMAL DUTY WIDE ECCENTRIC COLL LOCKING WIDE RING"
"18203","UG204-12","AMI UG204-12 3/4 NORMAL DUTY WIDE ECCENTRIC COLL COLLAR"
"18202","UG204","AMI UG204 20MM NORMAL DUTY WIDE ECCENTRIC COL COLLAR"
"18201","UC203MZ2","AMI UC203MZ2 17MM ZINC NORMAL WIDE SET SCREW BEA"
"18199","UC204MZ2","AMI UC204MZ2 20MM ZINC NORMAL WIDE SET SCREW BEA"
"18198","UC204-12MZ2","AMI UC204-12MZ2 3/4 ZINC NORMAL WIDE SET SCREW BEAR"
"18197","UC202MZ2","AMI UC202MZ2 15MM ZINC NORMAL WIDE SET SCREW BEA"
"18196","UC202-10MZ2","AMI UC202-10MZ2 5/8 ZINC NORMAL WIDE SET SCREW BEAR"
"18195","UC201-8MZ2","AMI UC201-8MZ2 1/2 ZINC NORMAL WIDE SET SCREW BEAR LOCKING"
"18194","B4-12MZ2","AMI B4-12MZ2 3/4 ZINC NORMAL NARROW SET SCREW BE LOCKING"
"18193","K001","AMI K001 12MM LIGHT EXTRA NARROW SET SCREW B LOCKING"
"18192","U003","AMI U003 17MM LIGHT EXTRA NARROW ECCENTRIC C NARROW WIDTH BEARING"
"18191","BR6-20","AMI BR6-20 1-1/4 NORMAL NARROW CYL O.D. SET SC W/CYLINDRICAL O.D."
"18190","BR6-19","AMI BR6-19 1-3/16 NORMAL NARROW CYL O.D. SET S W/CYLINDRICAL O.D."
"18189","BR6-18","AMI BR6-18 1-1/8 NORMAL NARROW CYL O.D. SET SC W/CYLINDRICAL O.D."
"18187","BR6","AMI BR6 30MM NORMAL NARROW CYL O.D. SET SCR WITHCYLINDRICAL O. D."
"18186","B6-20","AMI B6-20 1-1/4 NORMAL NARROW WIDTH SET SCREW SCREW LOCKING"
"18185","B6-19","AMI B6-19 1-3/16 NORMAL NARROW WIDTH SET SCRE SCREW LOCKING"
"18184","B6-18","AMI B6-18 1-1/8 NORMAL NARROW WIDTH SET SCREW SCREW LOCKING"
"18183","B6-17","AMI B6-17 1-1/16 NORMAL NARROW WIDTH SET SCRE SCREW LOCKING"
"18182","B6","AMI B6 30MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"18177","K002","AMI K002 15MM LIGHT EXTRA NARROW SET SCREW B LOCKING BEARING"
"18171","UR206-20","AMI UR206-20 1-1/4 NORMAL WIDE CYL O.D. SET SCRE"
"18167","UR206","AMI UR206 30MM NORMAL WIDE CYL O.D. SET SCREW"
"18166","UC206-20","AMI UC206-20 1-1/4 NORMAL DUTY WIDE SET SCREW BE SET-SCREW LOCK"
"18165","UC206-19","AMI UC206-19 1-3/16 NORMAL DUTY WIDE SET SCREW B RINGBEARING SET-SCREW LOCK"
"18164","UC206-18","AMI UC206-18 1-1/8 NORMAL DUTY WIDE SET SCREW BE SET-SCREW LOCK"
"18163","UC206-17","AMI UC206-17 1-1/16 NORMAL DUTY WIDE SET SCREW B RINGBEARING SET-SCREW LOCK"
"18162","UC206","AMI UC206 30MM NORMAL DUTY WIDE SET SCREW BEA SET-SCREW LOCK"
"18133","UC205MZ2","AMI UC205MZ2 25MM ZINC NORMAL WIDE SET SCREW BEA"
"18132","UC205-16MZ2","AMI UC205-16MZ2 1 ZINC NORMAL WIDE SET SCREW BEARIN"
"18130","UC205-14MZ2","AMI UC205-14MZ2 7/8 ZINC NORMAL WIDE SET SCREW BEAR"
"18129","SER204-12","AMI SER204-12 3/4 NORMAL WIDE CYL O.D. SET SCREW"
"18127","SER202-10","AMI SER202-10 5/8 NORMAL WIDE CYL O.D. SET SCREW"
"18126","SER201-8","AMI SER201-8 1/2 NORMAL WIDE CYL O.D. SET SCREW"
"18110","K003","AMI K003 17MM LIGHT EXTRA NARROW SET SCREW B LOCKING BEARING"
"18107","URE004-12","AMI URE004-12 3/4 LIGHT EXTRA NARROW ECCENTRIC CO CYLINDRICAL O. D."
"18106","URE004","AMI URE004 20MM LIGHT EXTRA NARROW ECCENTRIC C LOCKINGSTRAIGHT O.D."
"18105","U004","AMI U004 20MM LIGHT EXTRA NARROW ECCENTRIC C NARROW WIDTH BEARING"
"18065","B5-16MZ2","AMI B5-16MZ2 1 ZINC NORMAL NARROW SET SCREW BEAR LOCKING"
"18044","KHR206-20","AMI KHR206-20 1-1/4 NORMAL NARROW CYL O.D. ECCENT WIDTHCYLINDRICAL O.D. BEARING"
"18043","KHR206-19","AMI KHR206-19 1-3/16 NORMAL NARROW CYL O.D. ECCEN WIDTHCYLINDRICAL O.D. BEARING"
"18042","KHR206-18","AMI KHR206-18 1-1/8 NORMAL NARROW CYL O.D. ECCENT WIDTHCYLINDRICAL O.D. BEARING"
"18041","KHR206-17","AMI KHR206-17 1-1/16 NORMAL NARROW CYL O.D. ECCEN WIDTHCYLINDRICAL O.D. BEARING"
"18040","KHR206","AMI KHR206 30MM NORMAL NARROW CYL O.D. ECCENTR WIDTHCYLINDRICAL O.D. BEARING"
"18039","KH206-20","AMI KH206-20 1-1/4 NORMAL NARROW WIDTH ECCENTRIC BEARINGECCENTRIC LOCKING COLLAR"
"18038","KH206-19","AMI KH206-19 1-3/16 NORMAL NARROW WIDTH ECCENTRI BEARINGECCENTRIC LOCKING COLLAR"
"18037","KH206-18","AMI KH206-18 1-1/8 NORMAL NARROW WIDTH ECCENTRIC BEARINGECCENTRIC LOCKING COLLAR"
"18035","KH206","AMI KH206 30MM NORMAL NARROW WIDTH ECCENTRIC LOCKING COLLAR"
"18013","SER204","AMI SER204 20MM NORMAL WIDE CYL O.D. SET SCREW"
"18012","SER203","AMI SER203 17MM NORMAL WIDE CYL O.D. SET SCREW"
"18011","SER202","AMI SER202 15MM NORMAL WIDE CYL O.D. SET SCREW"
"18010","SER201","AMI SER201 12MM NORMAL WIDE CYL O.D. SET SCREW"
"18009","UG205-16","AMI UG205-16 1 NORMAL DUTY WIDE ECCENTRIC COLLAR COLLAR"
"18008","UG205-15","AMI UG205-15 15/16 NORMAL DUTY WIDE ECCENTRIC CO ECCENTRICLOCKING COLLAR"
"18007","UG205-14","AMI UG205-14 7/8 NORMAL DUTY WIDE ECCENTRIC COLL COLLAR"
"18006","UG205","AMI UG205 25MM NORMAL DUTY WIDE ECCENTRIC COL COLLAR"
"17993","SER205-16","AMI SER205-16 1 NORMAL WIDE CYL O.D. SET SCREW SN"
"17992","SER205-15","AMI SER205-15 15/16 NORMAL WIDE CYL O.D. SET SCRE"
"17991","SER205-14","AMI SER205-14 7/8 NORMAL WIDE CYL O.D. SET SCREW"
"17984","SER204-12FS","AMI SER204-12FS 3/4 NORMAL WIDE CYL O.D. SET SCREW CAGE"
"17982","SER201-8FS","AMI SER201-8FS 1/2 NORMAL WIDE CYL O.D. SET SCREW CAGE"
"17941","BR7-23","AMI BR7-23 1-7/16 NORMAL NARROW CYL O.D. SET S W/CYLINDRICAL O.D."
"17940","BR7-22","AMI BR7-22 1-3/8 NORMAL NARROW CYL O.D. SET SC W/CYLINDRICAL O.D."
"17939","BR7-21","AMI BR7-21 1-5/16 NORMAL NARROW CYL O.D. SET S W/CYLINDRICAL O.D."
"17938","BR7-20","AMI BR7-20 1-1/4 NORMAL NARROW CYL O.D. SET SC W/CYLINDRICAL O.D."
"17937","BR7","AMI BR7 35MM NORMAL NARROW CYL O.D. SET SCR S.SLOCKNON-RELUBE W/CYLINDRICAL O.D."
"17936","B7-23","AMI B7-23 1-7/16 NORMAL NARROW WIDTH SET SCRE SCREW LOCKING"
"17935","B7-22","AMI B7-22 1-3/8 NORMAL NARROW WIDTH SET SCREW SCREW LOCKING"
"17934","B7-21","AMI B7-21 1-5/16 NORMAL NARROW WIDTH SET SCRE SCREW LOCKING"
"17933","B7-20","AMI B7-20 1-1/4 NORMAL NARROW WIDTH SET SCREW SCREW LOCKING"
"17932","B7","AMI B7 35MM NORMAL NARROW WIDTH SET SCREW LOCKING"
"17931","PAV205-16","AMI PAV205-16 1 POLY-ACETAL SLEEVE BEARING INSERT"
"17930","K004","AMI K004 20MM LIGHT EXTRA NARROW SET SCREW B LOCKING BEARING"
"17929","UC206MZ2","AMI UC206MZ2 30MM ZINC NORMAL WIDE SET SCREW BEA"
"17928","UC206-20MZ2","AMI UC206-20MZ2 1-1/4 ZINC NORMAL WIDE SET SCREW BE"
